branch_name,branch_type,from_bus,to_bus
ELDORADO    -2901-MOHAVE      -2902-i_107,Line,2901,2902
GRIZZLY     -4004-GRIZZLY1    -4091-i_238,Line,4004,4091
METCALF     -3303-MOSSLAND    -3918-i_152,Line,3303,3918
MEXICO      -2000-IMPRLVLY    -2302-i_28,Line,2000,2302
EMERY       -6503-SPAN FRK    -6508-i_320,Line,6503,6508
MEAD        -1301-VICTORVL    -2603-i_19,Line,1301,2603
C.COSTA     -3201-VACA-DIX    -3924-i_126,Line,3201,3924
METCALF     -3303-MOSSLAND    -3918-i_153,Line,3303,3918
DIABLO      -3801-MIDWAY      -3803-i_176,Line,3801,3803
VICTORVL    -2603-ELDORADO    -2901-i_71,Line,2603,2901
MORAGA      -3202-SOBRANTE    -3205-i_130,Line,3202,3205
FULTON      -3501-IGNACIO     -3914-i_169,Line,3501,3914
SUMMER L    -4002-BURNS       -4003-i_231,Line,4002,4003
GATES       -3804-MORROBAY    -3806-i_184,Line,3804,3806
PITSBURG    -3204-SOBRANTE    -3205-i_140,Line,3204,3205
SYLMAR S    -2405-EAGLROCK    -2406-i_50,Line,2405,2406
MESA CAL    -2408-MIRALOMA    -2409-i_56,Line,2408,2409
ROUND MT    -3906-MALIN       -4001-i_198,Line,3906,4001
FOURCORN    -1001-MOENKOPI    -1201-i_1,Line,1001,1201
COTWDWAP    -8003-TRACYPMP    -8005-i_327,Line,8003,8005
MEXICO      -2000-MIGUEL      -2202-i_27,Line,2000,2202
LOSBANOS    -3901-TRACY       -8002-i_191,Line,3901,8002
RAVENSWD    -3305-TESLA       -3923-i_154,Line,3305,3923
STA B1      -2605-VICTORVL    -2607-i_75,Line,2605,2607
TRACYSPP    -6401-VALMY       -6403-i_298,Line,6401,6403
C.COSTA     -3201-VACA-DIX    -3924-i_125,Line,3201,3924
BENLOMND    -6501-TERMINAL    -6509-i_306,Line,6501,6509
MALIN       -4001-GRIZZLY7    -4097-i_228,Line,4001,4097
BELLOTA     -3907-TESLA       -3923-i_200,Line,3907,3923
MALIN       -4001-MERIDIAN    -4204-i_229,Line,4001,4204
MOENKOPI    -1201-NAVAJO      -1202-i_11,Line,1201,1202
INTERMT     -2604-GONDER      -6404-i_72,Line,2604,6404
MIDWAY      -3805-MORROBAY    -3806-i_185,Line,3805,3806
COTWDPGE    -3911-ROUND MT    -3921-i_210,Line,3911,3921
MARTIN      -3102-SANMATEO    -3103-i_111,Line,3102,3103
GRIZZLY2    -4092-GRIZZLY3    -4093-i_254,Line,4092,4093
MARTIN      -3102-SANMATEO    -3103-i_110,Line,3102,3103
GOLDHILL    -3913-RIO OSO     -3920-i_217,Line,3913,3920
TRACYSPP    -6401-VALMY       -6403-i_299,Line,6401,6403
CAMP WIL    -6502-EMERY       -6503-i_307,Line,6502,6503
NEWARK      -3203-METCALF     -3303-i_134,Line,3203,3303
COLSTRP     -6203-LARAMIE     -6304-i_290,Line,6203,6304
METCALF     -3303-MONTAVIS    -3304-i_151,Line,3303,3304
ADELANTO    -2600-VICTORVL    -2603-i_68,Line,2600,2603
PARKER      -1403-IMPERIAL    -2100-i_26,Line,1403,2100
JEFFERSN    -3302-MONTAVIS    -3304-i_148,Line,3302,3304
GRIZZLY     -4004-JOHN DAY    -4005-i_237,Line,4004,4005
VINCENT     -2404-MIDWAY6     -3897-i_49,Line,2404,3897
COULEE      -4101-HANFORD     -4102-i_258,Line,4101,4102
MEAD        -1301-WESTWING    -1402-i_18,Line,1301,1402
CASTAIC     -2608-OLIVE       -2611-i_77,Line,2608,2611
SAN JUAN    -1004-COLOEAST    -7001-i_7,Line,1004,7001
SAN JUAN    -1004-CRAIG       -7002-i_8,Line,1004,7002
MALIN       -4001-MALIN1      -4090-i_226,Line,4001,4090
COLSTRP     -6203-MONTANA     -6205-i_287,Line,6203,6205
MC CALL     -3403-GATES       -3804-i_162,Line,3403,3804
CA230TO     -5003-CA230       -5004-i_276,Line,5003,5004
HANFORD     -4102-WCASCADE    -4202-i_267,Line,4102,4202
BORAH       -6103-BENLOMND    -6501-i_283,Line,6103,6501
BIG EDDY    -4009-CELILO      -4010-i_252,Line,4009,4010
COTWDWAP    -8003-RNCHSECO    -8004-i_326,Line,8003,8004
GATES       -3802-GATES1      -3891-i_177,Line,3802,3891
C.COSTA     -3201-MORAGA      -3202-i_119,Line,3201,3202
COLGATE     -3909-PALERMO     -3919-i_203,Line,3909,3919
BORAH       -6104-NAUGHTON    -6305-i_285,Line,6104,6305
WCASCADE    -4202-WILLAMET    -4203-i_273,Line,4202,4203
NEWARK      -3203-METCALF     -3303-i_135,Line,3203,3303
SUMMIT      -3701-RIO OSO     -3926-i_173,Line,3701,3926
VALLEY      -2403-SERRANO     -2501-i_46,Line,2403,2501
CAMP WIL    -6502-MONA        -6504-i_311,Line,6502,6504
STA E       -2615-VALLEY      -2620-i_105,Line,2615,2620
LOSBANOS    -3901-MOSSLAND    -3902-i_189,Line,3901,3902
BORAH       -6103-BRIDGER     -6301-i_280,Line,6103,6301
MIGUEL      -2202-MISSION     -2203-i_32,Line,2202,2203
PALOVRDE    -1401-WESTWING    -1402-i_22,Line,1401,1402
SOBRANTE    -3205-IGNACIO     -3914-i_143,Line,3205,3914
GRIZZLY6    -4096-GRIZZLY7    -4097-i_257,Line,4096,4097
PITSBURG    -3204-TESLA       -3923-i_142,Line,3204,3923
RINALDI     -2612-STA J       -2618-i_93,Line,2612,2618
STA BLD     -2614-STA F       -2616-i_102,Line,2614,2616
MIDWAY      -3803-MIDWAY1     -3892-i_180,Line,3803,3892
GARRISON    -6204-MONTANA     -6205-i_291,Line,6204,6205
HAYNES      -2610-STA F       -2616-i_85,Line,2610,2616
BIG EDDY    -4006-CELILOCA    -4007-i_247,Line,4006,4007
COTWDPGE    -3911-COTWDWAP    -8003-i_214,Line,3911,8003
MARTIN      -3102-SANMATEO    -3103-i_112,Line,3102,3103
COLSTRP     -6201-GARRISON    -6202-i_286,Line,6201,6202
MORAGA      -3202-PITSBURG    -3204-i_129,Line,3202,3204
OLIVE       -2611-RINALDI     -2612-i_87,Line,2611,2612
MIRALOMA    -2409-SERRANO     -2502-i_60,Line,2409,2502
PANOCHE     -3404-MOSSLAND    -3918-i_166,Line,3404,3918
HANFORD     -4102-GARRISON    -6202-i_268,Line,4102,6202
GRIZZLY     -4004-GRIZZLY2    -4092-i_239,Line,4004,4092
MORAGA      -3202-VACA-DIX    -3924-i_131,Line,3202,3924
RINALDI     -2612-SYLMARLA    -2619-i_96,Line,2612,2619
PALERMO     -3919-TABLE MT    -3922-i_222,Line,3919,3922
MIDPOINT    -6102-VALMY       -6403-i_279,Line,6102,6403
BENLOMND    -6501-CAMP WIL    -6502-i_303,Line,6501,6502
FOURCORN    -1002-CHOLLA      -1102-i_5,Line,1002,1102
BRIDGER2    -6303-LARAMIE     -6304-i_293,Line,6303,6304
MORAGA      -3202-NEWARK      -3203-i_128,Line,3202,3203
MOENKOPI    -1201-WESTWING    -1402-i_12,Line,1201,1402
GOLDHILL    -3913-RIO OSO     -3920-i_216,Line,3913,3920
MORAGA      -3202-NEWARK      -3203-i_127,Line,3202,3203
FULTON      -3501-LAKEVILE    -3915-i_170,Line,3501,3915
WILLAMET    -4203-MERIDIAN    -4204-i_274,Line,4203,4204
FOURCORN    -1002-SAN JUAN    -1004-i_3,Line,1002,1004
C.COSTA     -3201-TESLA       -3923-i_124,Line,3201,3923
GRIZZLY3    -4093-GRIZZLY4    -4094-i_255,Line,4093,4094
PALOVRDE    -1401-DEVERS      -2400-i_25,Line,1401,2400
MEAD        -1301-WESTWING    -1402-i_17,Line,1301,1402
BENLOMND    -6501-MONA        -6504-i_304,Line,6501,6504
MALIN       -4001-GRIZZLY4    -4094-i_227,Line,4001,4094
COTWDPGE    -3911-COTWDWAP    -8003-i_213,Line,3911,8003
MARTIN      -3104-POTRERO     -3105-i_118,Line,3104,3105
PITSBURG    -3204-TESLA       -3923-i_141,Line,3204,3923
COULEE      -4101-NORTH       -4201-i_263,Line,4101,4201
LUGO        -2401-SERRANO     -2501-i_41,Line,2401,2501
GLENDAL     -2609-STA G       -2617-i_82,Line,2609,2617
EMBRCDRD    -3101-MARTIN      -3102-i_108,Line,3101,3102
RINALDI     -2612-STA J       -2618-i_91,Line,2612,2618
C.COSTA     -3201-NEWARK      -3203-i_122,Line,3201,3203
JOHN DAY    -4005-WCASCADE    -4202-i_245,Line,4005,4202
CAMP WIL    -6502-MONA        -6504-i_312,Line,6502,6504
HAYNES      -2610-STA G       -2617-i_86,Line,2610,2617
SUMMIT      -3701-RIO OSO     -3926-i_172,Line,3701,3926
BRIDGER2    -6303-NAUGHTON    -6305-i_294,Line,6303,6305
NAVAJO      -1202-WESTWING    -1402-i_15,Line,1202,1402
LUGO        -2401-ELDORADO    -2901-i_43,Line,2401,2901
MOENKOPI    -1201-ELDORADO    -2901-i_13,Line,1201,2901
PITSBURG    -3204-SOBRANTE    -3205-i_139,Line,3204,3205
COULEE      -4101-BELL        -4103-i_260,Line,4101,4103
MISSION     -2203-S.ONOFRE    -2503-i_35,Line,2203,2503
LUGO        -2401-MIRALOMA    -2402-i_38,Line,2401,2402
GLENDAL     -2609-STA E       -2615-i_81,Line,2609,2615
EMERY       -6503-MONA        -6504-i_316,Line,6503,6504
HANFORD     -4102-NORTH       -4201-i_264,Line,4102,4201
MIDWAY      -3803-GATES1      -3891-i_179,Line,3803,3891
LUGO        -2401-VINCENT     -2404-i_40,Line,2401,2404
LITEHIPE    -2407-MESA CAL    -2408-i_55,Line,2407,2408
JEFFERSN    -3302-MONTAVIS    -3304-i_147,Line,3302,3304
RNCHSECO    -8004-TRACYPMP    -8005-i_329,Line,8004,8005
CORONADO    -1101-PALOVRDE    -1401-i_10,Line,1101,1401
HANFORD     -4102-WCASCADE    -4202-i_266,Line,4102,4202
EMBRCDRD    -3101-MARTIN      -3102-i_109,Line,3101,3102
TESLA       -3903-TRACY       -8002-i_194,Line,3903,8002
CAMP WIL    -6502-MONA        -6504-i_309,Line,6502,6504
BORAH       -6103-BRIDGER     -6301-i_281,Line,6103,6301
