bus_name,bus_number,bus_area
NAVAJO 2    -1232,1232,1
GONDER      -6404,6404,1
VINCENT     -2404,2404,2
VALMY       -6433,6433,1
FOURCORN    -1003,1003,1
ELDORADO    -2901,2901,2
MIDWAY5     -3896,3896,2
GRIZZLY2    -4092,4092,3
SERRANO     -2502,2502,2
MIGUEL      -2202,2202,2
FCNGN4CC    -1032,1032,1
VALLEY      -2620,2620,2
CA230       -5004,5004,3
NORTH G3    -4231,4231,3
INTERM1G    -2634,2634,2
RNCHSECO    -8004,8004,2
IMPRLVLY    -2301,2301,2
OLIVE       -2611,2611,2
MALIN       -4008,4008,3
MC CALL     -3433,3433,2
MOSSLAND    -3902,3902,2
MOSSLAND    -3932,3932,2
LUGO        -2401,2401,2
SUMMIT      -3701,3701,1
OWENS G     -2637,2637,2
BURNS       -4003,4003,3
IMPRLVLY    -2302,2302,2
STA G       -2617,2617,2
PINTO PS    -6506,6506,3
MIDPOINT    -6101,6101,3
MORROBAY    -3836,3836,2
MESA CAL    -2438,2438,2
MIRALOMA    -2402,2402,2
COTWDWAP    -8033,8033,2
WCASCADE    -4202,4202,3
PITSBURG    -3234,3234,2
NEWARK      -3203,3203,2
CANALB      -5002,5002,3
OLIVE       -2631,2631,2
MOENKOPI    -1201,1201,1
STA BLD     -2614,2614,2
H ALLEN     -1333,1333,1
COLSTRP     -6201,6201,3
FULTON      -3531,3531,2
COTWDPGE    -3925,3925,2
MARTIN      -3104,3104,2
SUMMIT      -3731,3731,1
MIDWAY1     -3892,3892,2
IMPERIAL    -2130,2130,2
MALIN       -4001,4001,3
FOURCORN    -1002,1002,1
CELILO      -4010,4010,3
LAKEVILE    -3915,3915,2
C.COSTA     -3201,3201,2
CANAD G1    -5031,5031,3
MARTIN      -3102,3102,2
GREGG       -3401,3401,2
NAVAJO      -1202,1202,1
SOBRANTE    -3205,3205,2
GRIZZLY     -4004,4004,3
GLENN       -3912,3912,2
WESTWING    -1402,1402,1
BELL        -4104,4104,3
TRACYPMP    -8005,8005,2
INTERMT     -2604,2604,2
SERRANO     -2501,2501,2
STA B       -2621,2621,2
MESA CAL    -2408,2408,2
COTWDWAP    -8003,8003,2
DIABLO1     -3831,3831,2
STA B2      -2606,2606,2
CASTAIC     -2608,2608,2
SYLMARLA    -2619,2619,2
LITEHIPE    -2407,2407,2
RNCHSECO    -8034,8034,2
PALOVRD2    -1431,1431,1
FULTON      -3501,3501,2
GATES       -3804,3804,2
METCALF     -3333,3333,2
MIRALOMA    -2439,2439,2
TABLE MT    -3905,3905,2
GRIZZLY7    -4097,4097,3
ADELANTO    -2600,2600,2
MALIN       -4031,4031,3
CRAIG       -7002,7002,3
BRIDGER     -6333,6333,3
IMPRLVLY    -2332,2332,2
GRIZZLY6    -4096,4096,3
NAUGHTON    -6305,6305,3
STA E       -2602,2602,2
TESLA       -3933,3933,2
COLOEAST    -7031,7031,3
MISSION     -2203,2203,2
MIDWAY      -3805,3805,2
BELL        -4103,4103,3
JEFFERSN    -3302,3302,2
EMERY       -6503,6503,3
CORONADO    -1101,1101,1
H ALLEN     -1302,1302,1
ROUND MT    -3931,3931,2
CORTINA     -3910,3910,2
SYLMAR S    -2405,2405,2
IGNACIO     -3914,3914,2
RAVENSWD    -3305,3305,2
MIDWAY      -3835,3835,2
SAN JUAN    -1004,1004,1
PARKER      -1403,1403,1
VALLEY      -2403,2403,2
GRIZZLY3    -4093,4093,3
EAGLROCK    -2406,2406,2
CANADA      -5001,5001,3
CAMP WIL    -6502,6502,3
COULEE      -4131,4131,3
BIG EDDY    -4009,4009,3
MEXICO      -2000,2000,4
BRIDGER     -6301,6301,3
MALIN1      -4090,4090,3
COLGATE     -3909,3909,2
BRIDGER2    -6303,6303,3
GRIZZLY5    -4095,4095,3
LARAMIE     -6304,6304,3
PALOVRDE    -1401,1401,1
MIRALOMA    -2409,2409,2
SUMMER L    -4002,4002,3
BIG EDDY    -4006,4006,3
CHOLLA      -1102,1102,1
NAUGHT      -6335,6335,3
EMERY       -6533,6533,3
STA B1      -2605,2605,2
RIO OSO     -3926,3926,2
ROUND MT    -3906,3906,2
CMAIN GM    -5032,5032,3
MORAGA      -3202,3202,2
MIDPOINT    -6132,6132,3
RIO OSO     -3920,3920,2
PINTO       -6505,6505,3
BELLOTA     -3907,3907,2
COLSTRP     -6231,6231,3
DALLES21    -4039,4039,3
MONA        -6504,6504,3
RIVER       -2613,2613,2
METCALF     -3301,3301,2
TESLA       -3923,3923,2
HANFORD     -4102,4102,3
WILLAMET    -4203,4203,3
TABLE MT    -3922,3922,2
VICTORVL    -2603,2603,2
CELILOCA    -4007,4007,3
DEVERS      -2400,2400,2
MIDPOINT    -6102,6102,3
METCALF     -3303,3303,2
GARRISON    -6202,6202,3
MONTAVIS    -3304,3304,2
FOURCORN    -1001,1001,1
BORAH       -6103,6103,3
OLINDA      -8001,8001,2
PARDEE      -2410,2410,2
MIDWAY      -3803,3803,2
ROUND MT    -3921,3921,2
MIGUEL      -2201,2201,2
PITSBURG    -3204,3204,2
MIDWAY2     -3893,3893,2
BRIGHTON    -3908,3908,2
MEXICO      -2030,2030,4
RINALDI     -2612,2612,2
COLOEAST    -7001,7001,3
LOSBANOS    -3917,3917,2
VACA-DIX    -3904,3904,2
S.ONOFRE    -2503,2503,2
GLENDAL     -2609,2609,2
COLSTRP     -6203,6203,3
EMBRCDRD    -3101,3101,2
MC CALL     -3403,3403,2
MISSION     -2233,2233,2
MIDWAY6     -3897,3897,2
