gen_name,bus_number
generator-3933-S,3933
generator-3933-CG,3933
generator-8034-H,8034
generator-2438-SW,2438
generator-7031-G,7031
generator-3631-NB,3631
generator-7031-P,7031
generator-2638-H,2638
generator-1431-N,1431
generator-6433-W,6433
generator-2030-G,2030
generator-5032-R,5032
generator-8033-H,8033
generator-6235-W,6235
generator-2431-S,2431
generator-5032-S,5032
generator-3234-NG,3234
generator-4039-G,4039
generator-1034-C,1034
generator-2332-S,2332
generator-6132-S,6132
generator-4231-C,4231
generator-5032-G,5032
generator-5032-C,5032
generator-2030-E,2030
generator-4031-W,4031
generator-3933-NG,3933
generator-2630-G,2630
generator-4232-H,4232
generator-2438-S,2438
generator-4132-N,4132
generator-7032-G,7032
generator-6533-H,6533
generator-1131-G,1131
generator-3836-DG,3836
generator-4132-G,4132
generator-6235-G,6235
generator-1131-C,1131
generator-2631-S,2631
generator-2438-EG,2438
generator-7032-C,7032
generator-2438-SH,2438
generator-3234-MG,3234
generator-3433-S,3433
generator-3835-S,3835
generator-4232-W,4232
generator-3135-NG,3135
generator-2434-S,2434
generator-3933-NH,3933
generator-4131-B,4131
generator-1232-H,1232
generator-2438-WG,2438
generator-4131-H,4131
generator-6132-H,6132
generator-6533-S,6533
generator-6533-W,6533
generator-4031-H,4031
generator-6335-C,6335
generator-1032-G,1032
generator-3731-NH,3731
generator-2438-RG,2438
generator-2130-H,2130
generator-3333-CG,3333
generator-2130-S,2130
generator-2233-DG,2233
generator-6132-G,6132
generator-2233-TG,2233
generator-7032-H,7032
generator-4132-W,4132
generator-3531-CE,3531
generator-4039-W,4039
generator-4035-W,4035
generator-3932-S,3932
generator-8034-G,8034
generator-4132-H,4132
generator-3831-NN,3831
generator-4232-G,4232
generator-2637-H,2637
generator-3333-NG,3333
generator-6433-E,6433
generator-7031-C,7031
generator-2233-EG,2233
generator-6533-C,6533
generator-4035-H,4035
generator-1333-G,1333
generator-6335-H,6335
generator-2533-S,2533
generator-6231-C,6231
generator-2634-C,2634
generator-6533-G,6533
generator-7031-W,7031
generator-6235-H,6235
generator-1034-G,1034
generator-1032-S,1032
generator-2439-S,2439
generator-4131-W,4131
generator-3835-NG,3835
generator-2438-SG,2438
generator-1331-G,1331
generator-2130-E,2130
generator-4031-S,4031
generator-3531-NE,3531
generator-4035-C,4035
generator-6433-G,6433
generator-1032-C,1032
generator-4231-H,4231
generator-3433-NG,3433
generator-3234-DG,3234
generator-4231-G,4231
generator-6132-W,6132
generator-6333-W,6333
generator-4035-G,4035
generator-3933-NB,3933
generator-6433-C,6433
generator-1232-C,1232
generator-6335-G,6335
generator-3931-NB,3931
generator-1034-W,1034
generator-3933-NW,3933
generator-5031-G,5031
generator-4031-G,4031
generator-2130-G,2130
generator-7032-S,7032
generator-4039-H,4039
generator-3135-MG,3135
generator-1431-S,1431
generator-3931-NH,3931
generator-3133-NG,3133
generator-6231-G,6231
generator-3531-NH,3531
generator-3631-NG,3631
generator-6333-C,6333
generator-1333-C,1333
generator-1431-G,1431
generator-5031-H,5031
generator-5032-W,5032
generator-1333-S,1333
generator-3234-NW,3234
generator-6132-B,6132
generator-1331-H,1331
