time,generator-3933-S,generator-3933-CG,generator-8034-H,generator-2438-SW,generator-7031-G,generator-3631-NB,generator-7031-P,generator-2638-H,generator-1431-N,generator-6433-W,generator-2030-G,generator-5032-R,generator-8033-H,generator-6235-W,generator-2431-S,generator-5032-S,generator-3234-NG,generator-4039-G,generator-1034-C,generator-2332-S,generator-6132-S,generator-4231-C,generator-5032-G,generator-5032-C,generator-2030-E,generator-4031-W,generator-3933-NG,generator-2630-G,generator-4232-H,generator-2438-S,generator-4132-N,generator-7032-G,generator-6533-H,generator-1131-G,generator-3836-DG,generator-4132-G,generator-6235-G,generator-1131-C,generator-2631-S,generator-2438-EG,generator-7032-C,generator-2438-SH,generator-3234-MG,generator-3433-S,generator-3835-S,generator-4232-W,generator-3135-NG,generator-2434-S,generator-3933-NH,generator-4131-B,generator-1232-H,generator-2438-WG,generator-4131-H,generator-6132-H,generator-6533-S,generator-6533-W,generator-4031-H,generator-6335-C,generator-1032-G,generator-3731-NH,generator-2438-RG,generator-2130-H,generator-3333-CG,generator-2130-S,generator-2233-DG,generator-6132-G,generator-2233-TG,generator-7032-H,generator-4132-W,generator-3531-CE,generator-4039-W,generator-4035-W,generator-3932-S,generator-8034-G,generator-4132-H,generator-3831-NN,generator-4232-G,generator-2637-H,generator-3333-NG,generator-6433-E,generator-7031-C,generator-2233-EG,generator-6533-C,generator-4035-H,generator-1333-G,generator-6335-H,generator-2533-S,generator-6231-C,generator-2634-C,generator-6533-G,generator-7031-W,generator-6235-H,generator-1034-G,generator-1032-S,generator-2439-S,generator-4131-W,generator-3835-NG,generator-2438-SG,generator-1331-G,generator-2130-E,generator-4031-S,generator-3531-NE,generator-4035-C,generator-6433-G,generator-1032-C,generator-4231-H,generator-3433-NG,generator-3234-DG,generator-4231-G,generator-6132-W,generator-6333-W,generator-4035-G,generator-3933-NB,generator-6433-C,generator-1232-C,generator-6335-G,generator-3931-NB,generator-1034-W,generator-3933-NW,generator-5031-G,generator-4031-G,generator-2130-G,generator-7032-S,generator-4039-H,generator-3135-MG,generator-1431-S,generator-3931-NH,generator-3133-NG,generator-6231-G,generator-3531-NH,generator-3631-NG,generator-6333-C,generator-1333-C,generator-1431-G,generator-5031-H,generator-5032-W,generator-1333-S,generator-3234-NW,generator-6132-B,generator-1331-H
0.0,6.0630000185750745,3.9343548507632695,4.074191017541733,6.8696882914994,15.345878488628491,0.30412495200168743,0.8436530811225808,1.9326946093251918,21.463259199669583,0.6825142832318718,17.21085479860288,0.6178503759676336,10.838447530535873,2.66903651926407,4.73131806217729,25.06465145348399,6.021557738319773,0.6508961140251917,17.547005720453647,8.153512163140258,1.5500288315237765,9.12183501913785,25.006241567879226,33.83148274893038,5.619302295280483,2.0248633007187165,8.764741962336206,22.759702457454463,2.0811623578651424,2.44927804949624,8.19104185892074,7.24678619721701,0.8438257187381419,20.110859915488177,6.6568668812261595,16.881728170078038,0.8554546731104538,5.164125850391828,2.2029965118732653,4.908344801879197,8.897569259905936,2.2736467968943397,22.39266783937669,7.4409698191480445,1.415222233916226,2.9658569878105916,0.12642767159108712,5.453834142515264,12.389806489571269,3.959830907794709,6.076329255751429,12.45138760874326,65.28177234590339,17.1586698955561,5.307693677596287,1.4767033187602974,3.0372948766209777,21.460181007868602,8.329180836088787,2.7427242300154875,11.67072658986624,2.5324637827474126,6.056808001136966,0.732835047175861,2.016473592735375,9.202305299956418,1.429219879763323,3.2864213266376,2.457317029516901,7.84102156414467,5.9942731969981295,6.561078968327611,13.63556109613314,28.10905559175169,34.91022950387781,20.091102488917635,3.260768552606513,0.738685160868441,1.86588762615671,3.379678613136613,7.562080629388466,3.58012504534772,12.362056155355091,9.092416244074698,34.24273932277847,2.445798231209399,16.841616862999295,6.429787651382449,14.917100883074045,11.37478006443147,7.512653254945809,9.889056021156884,24.368202313461655,5.059793082591791,10.054358799078194,4.886452011393139,2.1605961610984505,8.792084824042051,18.756869324299235,5.315391016535776,1.3615460123780494,2.9341242890094366,1.6339258241214292,6.179017280781242,6.92801022814862,21.974591870762968,4.804171512734935,1.030003297344172,6.064787607318683,4.332326369332528,8.446059839132129,4.216036582448044,1.569193553194599,1.7654335087946416,25.230176879284496,2.7854924299884836,2.201256161774936,15.181498905236479,3.3658064619246466,7.693873409142984,8.658073311671126,3.7476753415016626,3.6044251537103684,12.238360655566659,1.8602928819831388,12.331067603593912,11.352861566260534,0.32128253137767454,2.0516233731277738,0.1301829889321595,0.6803650919844736,26.05692397733312,2.0384809318311614,46.74524689388761,55.95544297558537,3.0725488760224633,11.83809353030263,10.11186329229392,0.3875040313179045,20.145217657970935
0.01,6.063000018575077,3.934354850763251,4.074191017541503,6.869688291499404,15.34587848862824,0.30412495200168077,0.8436530811229137,1.9326946093254813,21.463259199668496,0.682514283231872,17.210854798602494,0.6178503759676535,10.838447530535694,2.669036519264069,4.7313180621773006,25.064651453483982,6.02155773831991,0.650896114025153,17.54700572045388,8.15351216314027,1.5500288315237716,9.12183501913801,25.006241567879893,33.83148274893086,5.61930229528111,2.024863300718718,8.764741962336167,22.759702457454033,2.081162357865312,2.449278049496241,8.191041858920387,7.246786197217258,0.8438257187381628,20.110859915485875,6.656866881226314,16.881728170078087,0.8554546731100696,5.164125850392215,2.2029965118732693,4.908344801879177,8.897569259906005,2.27364679689432,22.392667839376607,7.440969819148054,1.41522223391623,2.965856987810595,0.12642767159108353,5.453834142515258,12.389806489571209,3.9598309077947764,6.076329255751364,12.451387608743806,65.28177234590345,17.158669895555587,5.307693677596287,1.4767033187602976,3.037294876620273,21.460181007868577,8.329180836088643,2.74272423001605,11.670726589866197,2.5324637827472425,6.056808001136879,0.7328350471758612,2.016473592735216,9.202305299956171,1.429219879763211,3.286421326637559,2.4573170295169025,7.8410215641440235,5.9942731969981375,6.561078968327621,13.635561096133145,28.109055591751716,34.91022950387788,20.09110248891755,3.2607685526061863,0.7386851608682926,1.8658876261567032,3.3796786131363614,7.562080629388212,3.5801250453478035,12.362056155354345,9.092416244072997,34.242739322780125,2.4457982312093303,16.841616862999363,6.429787651381304,14.917100883074228,11.374780064431727,7.5126532549458265,9.889056021157115,24.36820231346127,5.05979308259179,10.054358799078223,4.886452011393139,2.1605961610980016,8.792084824040613,18.756869324299164,5.315391016535372,1.3615460123780503,2.9341242890095303,1.6339258241214543,6.179017280781332,6.928010228149251,21.97459187076298,4.804171512734833,1.0300032973441677,6.064787607318681,4.332326369332516,8.446059839132044,4.216036582448236,1.5691935531945733,1.7654335087945676,25.23017687928264,2.7854924299882673,2.2012561617750555,15.181498905236465,3.3658064619246484,7.693873409144412,8.658073311671313,3.747675341501862,3.6044251537103813,12.238360655566828,1.8602928819828484,12.331067603593949,11.352861566260493,0.3212825313776726,2.051623373127874,0.13018298893217117,0.6803650919844655,26.056923977335966,2.0384809318311308,46.745246893892364,55.95544297558051,3.072548876022464,11.838093530302652,10.111863292293922,0.387504031317873,20.145217657970857
0.02,6.063000018575087,3.9343548507632353,4.074191017540969,6.869688291499422,15.345878488627617,0.30412495200167583,0.8436530811237719,1.9326946093263582,21.463259199666012,0.6825142832318729,17.210854798601474,0.6178503759677066,10.838447530535236,2.6690365192640666,4.731318062177318,25.064651453483997,6.02155773832031,0.6508961140250679,17.547005720454493,8.153512163140288,1.550028831523759,9.12183501913845,25.006241567881784,33.831482748932096,5.61930229528265,2.0248633007187253,8.764741962336132,22.759702457453315,2.081162357865789,2.449278049496247,8.191041858919593,7.246786197217787,0.8438257187382231,20.110859915480216,6.656866881226868,16.881728170078276,0.855454673109146,5.1641258503932,2.202996511873275,4.9083448018792755,8.89756925990616,2.2736467968943597,22.39266783937655,7.440969819148075,1.415222233916244,2.965856987810607,0.12642767159109308,5.453834142515271,12.389806489571148,3.959830907794954,6.076329255751217,12.451387608745433,65.28177234590324,17.158669895554066,5.3076936775962915,1.476703318760299,3.037294876618519,21.46018100786802,8.329180836088355,2.742724230017377,11.67072658986642,2.5324637827468486,6.056808001136729,0.7328350471758621,2.016473592734856,9.202305299955425,1.4292198797629494,3.2864213266374573,2.4573170295169056,7.841021564142432,5.994273196998168,6.56107896832767,13.635561096133179,28.109055591751957,34.910229503878405,20.09110248891779,3.2607685526054895,0.7386851608679962,1.8658876261567,3.3796786131357357,7.56208062938763,3.5801250453480655,12.362056155352471,9.092416244068884,34.24273932278434,2.4457982312091175,16.841616862999476,6.429787651378602,14.917100883074566,11.374780064432459,7.512653254945886,9.88905602115798,24.368202313460475,5.059793082591786,10.054358799078281,4.886452011393139,2.160596161097473,8.792084824037413,18.7568693242992,5.315391016534447,1.3615460123780556,2.934124289009774,1.6339258241215175,6.17901728078151,6.928010228150817,21.97459187076306,4.804171512734724,1.0300032973441664,6.064787607318714,4.3323263693324785,8.446059839131777,4.216036582448747,1.5691935531945216,1.7654335087943942,25.230176879278314,2.7854924299876807,2.201256161775336,15.18149890523643,3.3658064619246537,7.69387340914765,8.658073311671751,3.7476753415023754,3.6044251537104115,12.23836065556737,1.860292881982407,12.331067603593976,11.352861566260357,0.32128253137767493,2.0516233731281535,0.1301829889321995,0.6803650919844723,26.056923977343413,2.0384809318310833,46.74524689390397,55.95544297556843,3.0725488760224646,11.838093530302654,10.111863292293936,0.3875040313177877,20.145217657970903
0.03,6.063000018575102,3.9343548507632073,4.074191017540252,6.86968829149946,15.34587848862684,0.3041249520016696,0.8436530811250165,1.9326946093275092,21.463259199662687,0.6825142832318746,17.210854798600163,0.6178503759677796,10.838447530534674,2.6690365192640653,4.731318062177355,25.064651453484007,6.021557738320866,0.6508961140249611,17.547005720455328,8.153512163140295,1.5500288315237374,9.12183501913904,25.00624156788427,33.831482748933794,5.61930229528476,2.0248633007187404,8.76474196233607,22.75970245745221,2.0811623578664538,2.4492780494962614,8.1910418589185,7.246786197218416,0.8438257187383024,20.11085991547253,6.656866881227619,16.881728170078574,0.8554546731078687,5.1641258503945275,2.202996511873286,4.908344801879398,8.89756925990643,2.2736467968943956,22.392667839376532,7.440969819148108,1.415222233916272,2.96585698781063,0.12642767159110488,5.453834142515294,12.389806489571075,3.9598309077952027,6.076329255751006,12.451387608747588,65.28177234590318,17.158669895552013,5.307693677596301,1.4767033187603016,3.037294876616137,21.46018100786728,8.32918083608799,2.7427242300192427,11.670726589866723,2.53246378274633,6.056808001136517,0.7328350471758639,2.016473592734361,9.202305299954403,1.4292198797626072,3.28642132663733,2.457317029516915,7.841021564140237,5.994273196998217,6.561078968327771,13.63556109613324,28.10905559175232,34.9102295038792,20.09110248891807,3.260768552604564,0.7386851608675793,1.8658876261567012,3.3796786131348733,7.56208062938682,3.5801250453484954,12.362056155349887,9.092416244063399,34.24273932279015,2.445798231208826,16.841616862999675,6.429787651374768,14.917100883074982,11.374780064433404,7.5126532549459695,9.889056021159213,24.368202313459513,5.059793082591786,10.05435879907837,4.886452011393141,2.1605961610966826,8.792084824033081,18.756869324299295,5.315391016533175,1.3615460123780656,2.9341242890101014,1.6339258241216092,6.179017280781735,6.9280102281529645,21.974591870763195,4.804171512734548,1.0300032973441662,6.064787607318764,4.33232636933242,8.446059839131339,4.216036582449477,1.5691935531944543,1.7654335087941575,25.23017687927231,2.7854924299868897,2.2012561617757234,15.181498905236388,3.3658064619246617,7.693873409151879,8.658073311672362,3.747675341503091,3.6044251537104453,12.238360655568258,1.860292881981801,12.331067603593928,11.352861566260206,0.3212825313776772,2.0516233731285367,0.1301829889322382,0.6803650919844821,26.056923977353904,2.038480931831034,46.74524689391999,55.95544297555181,3.072548876022467,11.838093530302585,10.11186329229396,0.3875040313176733,20.145217657970985
0.04,6.063000018575125,3.9343548507631616,4.0741910175393565,6.869688291499527,15.34587848862569,0.30412495200166156,0.8436530811266573,1.9326946093289588,21.463259199658808,0.6825142832318778,17.210854798598596,0.6178503759678713,10.83844753053396,2.6690365192640657,4.731318062177405,25.064651453484046,6.021557738321556,0.6508961140248255,17.547005720456326,8.153512163140281,1.5500288315237083,9.121835019139825,25.00624156788726,33.83148274893589,5.619302295287379,2.024863300718766,8.764741962335977,22.759702457450917,2.0811623578672527,2.449278049496285,8.191041858917144,7.246786197219006,0.8438257187383968,20.11085991546301,6.6568668812285825,16.881728170078958,0.8554546731062671,5.164125850396135,2.202996511873304,4.90834480187958,8.897569259906815,2.2736467968944467,22.392667839376376,7.4409698191481555,1.4152222339163192,2.965856987810669,0.1264276715911153,5.453834142515339,12.389806489570933,3.9598309077955034,6.076329255750784,12.451387608750228,65.28177234590284,17.158669895549433,5.30769367759632,1.4767033187603067,3.037294876613199,21.46018100786639,8.329180836087545,2.742724230021504,11.670726589867147,2.5324637827457086,6.0568080011362495,0.7328350471758668,2.01647359273374,9.202305299953117,1.4292198797621598,3.286421326637213,2.4573170295169304,7.841021564137452,5.994273196998294,6.561078968327939,13.635561096133333,28.109055591752643,34.91022950388012,20.091102488918523,3.260768552603383,0.7386851608670782,1.8658876261566957,3.3796786131338084,7.562080629385773,3.5801250453491567,12.362056155346814,9.092416244056503,34.24273932279751,2.4457982312084803,16.84161686299994,6.4297876513699315,14.91710088307554,11.374780064434521,7.512653254946088,9.889056021160693,24.368202313458237,5.059793082591792,10.054358799078488,4.8864520113931444,2.160596161095764,8.792084824027803,18.756869324299423,5.3153910165316525,1.3615460123780827,2.9341242890104975,1.633925824121706,6.179017280782011,6.928010228155574,21.974591870763355,4.804171512734352,1.0300032973441566,6.064787607318814,4.332326369332337,8.446059839130692,4.216036582450314,1.5691935531943624,1.7654335087938697,25.230176879264743,2.785492429985904,2.201256161776205,15.181498905236333,3.365806461924675,7.693873409156899,8.658073311673027,3.7476753415039785,3.6044251537104794,12.238360655569261,1.860292881981006,12.33106760359375,11.352861566260016,0.32128253137767876,2.0516233731290177,0.1301829889322857,0.680365091984495,26.0569239773673,2.0384809318310086,46.74524689394011,55.955442975531184,3.0725488760224713,11.838093530302398,10.111863292294002,0.3875040313175322,20.14521765797112
0.05,6.063000018575161,3.934354850763114,4.074191017538324,6.869688291499626,15.345878488624379,0.3041249520016468,0.8436530811286727,1.9326946093306734,21.463259199654562,0.6825142832318821,17.21085479859682,0.6178503759679761,10.83844753053312,2.6690365192640675,4.7313180621774755,25.064651453484107,6.021557738322369,0.6508961140246693,17.547005720457502,8.153512163140247,1.5500288315236697,9.121835019140704,25.006241567890605,33.83148274893821,5.6193022952903835,2.024863300718804,8.764741962335851,22.75970245744936,2.0811623578681435,2.4492780494963204,8.191041858915591,7.2467861972194125,0.8438257187384924,20.11085991545211,6.656866881229714,16.881728170079363,0.8554546731044096,5.164125850397964,2.2029965118733266,4.908344801879781,8.897569259907382,2.273646796894496,22.392667839376177,7.44096981914822,1.415222233916389,2.965856987810726,0.1264276715911277,5.453834142515407,12.389806489570757,3.9598309077958147,6.076329255750513,12.45138760875307,65.28177234590233,17.158669895546335,5.30769367759635,1.4767033187603151,3.037294876609792,21.46018100786529,8.329180836087088,2.742724230024072,11.670726589867614,2.532463782744992,6.05680800113598,0.7328350471758719,2.0164735927329707,9.202305299951625,1.4292198797616142,3.286421326637128,2.457317029516954,7.841021564134231,5.994273196998409,6.561078968328185,13.635561096133477,28.10905559175307,34.910229503881084,20.09110248891914,3.260768552602023,0.7386851608665096,1.8658876261566906,3.3796786131325924,7.56208062938462,3.580125045350041,12.362056155343202,9.092416244048449,34.24273932280605,2.445798231208064,16.841616863000297,6.42978765136429,14.917100883076207,11.374780064435706,7.512653254946233,9.889056021162311,24.368202313456813,5.059793082591806,10.054358799078637,4.886452011393153,2.1605961610947015,8.792084824021835,18.7568693242996,5.315391016529924,1.3615460123781078,2.9341242890109522,1.6339258241217902,6.17901728078229,6.928010228158596,21.97459187076353,4.80417151273413,1.0300032973441482,6.064787607318855,4.33232636933223,8.446059839129813,4.216036582451172,1.569193553194258,1.7654335087935364,25.230176879255904,2.7854924299847466,2.2012561617767625,15.181498905236278,3.3658064619246946,7.69387340916236,8.658073311673826,3.747675341504981,3.604425153710507,12.238360655570286,1.8602928819801383,12.331067603593409,11.352861566259735,0.32128253137768265,2.0516233731295843,0.13018298893234007,0.6803650919845019,26.056923977383146,2.038480931831032,46.74524689396321,55.955442975507424,3.072548876022479,11.83809353030206,10.11186329229406,0.3875040313173654,20.14521765797131
0.06,6.063000018575209,3.934354850763018,4.074191017537204,6.869688291499763,15.345878488623034,0.30412495200162654,0.8436530811310674,1.9326946093324857,21.463259199650214,0.6825142832318878,17.210854798594948,0.6178503759680943,10.838447530532205,2.6690365192640733,4.731318062177573,25.0646514534842,6.021557738323237,0.6508961140245045,17.54700572045875,8.15351216314018,1.550028831523622,9.121835019141637,25.00624156789419,33.83148274894082,5.61930229529369,2.024863300718855,8.764741962335652,22.759702457447382,2.0811623578691063,2.4492780494963693,8.191041858913911,7.2467861972195005,0.8438257187385885,20.11085991544012,6.656866881230918,16.881728170079846,0.8554546731023472,5.164125850399851,2.2029965118733594,4.908344801879853,8.897569259908119,2.2736467968944445,22.39266783937589,7.440969819148299,1.4152222339164844,2.965856987810803,0.1264276715911336,5.45383414251549,12.389806489570464,3.9598309077961735,6.076329255750157,12.451387608755752,65.28177234590153,17.15866989554286,5.307693677596392,1.4767033187603267,3.037294876606057,21.460181007864012,8.329180836086607,2.742724230026871,11.670726589867785,2.532463782744186,6.056808001135643,0.7328350471758792,2.016473592732005,9.202305299950002,1.4292198797609372,3.2864213266370816,2.4573170295169864,7.841021564130599,5.994273196998556,6.561078968328517,13.635561096133676,28.109055591753542,34.91022950388219,20.091102488919653,3.2607685526005548,0.738685160865855,1.8658876261566748,3.3796786131312624,7.562080629383384,3.580125045351055,12.362056155339275,9.092416244039525,34.2427393228155,2.445798231207615,16.841616863000784,6.4297876513579855,14.917100883076916,11.374780064436898,7.512653254946415,9.88905602116412,24.36820231345529,5.059793082591834,10.05435879907884,4.886452011393166,2.160596161093376,8.792084824015312,18.756869324299718,5.315391016527976,1.3615460123781422,2.934124289011433,1.6339258241218682,6.1790172807825705,6.928010228161882,21.97459187076365,4.804171512733812,1.0300032973441366,6.064787607318913,4.332326369332096,8.4460598391287,4.216036582452069,1.5691935531941306,1.7654335087931718,25.23017687924598,2.7854924299834596,2.2012561617773705,15.181498905236223,3.365806461924721,7.69387340916799,8.658073311674578,3.7476753415059783,3.6044251537105274,12.238360655571359,1.8602928819791256,12.331067603592874,11.352861566259357,0.32128253137768253,2.051623373130212,0.13018298893239869,0.6803650919844967,26.056923977401148,2.0384809318311117,46.745246893988416,55.95544297548115,3.0725488760224904,11.838093530301542,10.111863292294148,0.387504031317182,20.145217657971408
0.07,6.063000018575267,3.934354850762905,4.074191017536034,6.869688291499938,15.345878488621828,0.3041249520016005,0.843653081133862,1.9326946093344783,21.463259199646224,0.6825142832318948,17.21085479859313,0.6178503759682181,10.838447530531187,2.669036519264081,4.731318062177696,25.06465145348432,6.021557738324133,0.6508961140243347,17.547005720460003,8.153512163140068,1.5500288315235653,9.121835019142603,25.006241567897916,33.83148274894337,5.619302295297174,2.024863300718919,8.76474196233539,22.759702457445407,2.081162357870072,2.449278049496432,8.191041858912131,7.246786197219183,0.8438257187386948,20.110859915427437,6.656866881232246,16.88172817008038,0.8554546731001328,5.164125850401799,2.202996511873399,4.908344801879961,8.897569259909172,2.2736467968943916,22.392667839375683,7.440969819148402,1.4152222339166052,2.965856987810901,0.1264276715911357,5.453834142515612,12.389806489570102,3.9598309077965332,6.076329255749787,12.451387608758456,65.28177234590066,17.158669895539095,5.307693677596444,1.4767033187603413,3.037294876602099,21.460181007862715,8.32918083608619,2.7427242300296726,11.670726589868035,2.532463782743388,6.056808001135277,0.7328350471758885,2.0164735927309927,9.202305299948272,1.4292198797602138,3.2864213266371034,2.4573170295170277,7.841021564126673,5.99427319699874,6.561078968328941,13.635561096133932,28.109055591753915,34.910229503883166,20.091102488920463,3.2607685525989742,0.7386851608652062,1.8658876261566568,3.3796786131298364,7.562080629382275,3.5801250453524625,12.362056155335212,9.092416244030062,34.24273932282556,2.445798231207144,16.841616863001367,6.429787651351089,14.917100883077735,11.374780064438127,7.512653254946619,9.889056021166017,24.368202313453697,5.059793082591872,10.054358799079088,4.886452011393182,2.1605961610921556,8.792084824008793,18.756869324299977,5.315391016526036,1.361546012378185,2.9341242890119097,1.6339258241219028,6.179017280782812,6.928010228165303,21.974591870763803,4.804171512733469,1.030003297344126,6.064787607319011,4.332326369331937,8.446059839127354,4.216036582452936,1.5691935531939902,1.7654335087927753,25.23017687923536,2.7854924299820882,2.2012561617780095,15.181498905236172,3.365806461924754,7.6938734091734675,8.658073311675254,3.747675341507034,3.6044251537105327,12.23836065557231,1.8602928819780646,12.331067603592128,11.352861566258909,0.32128253137768087,2.051623373130877,0.1301829889324595,0.6803650919844806,26.056923977421103,2.038480931831267,46.745246894015224,55.95544297545326,3.0725488760225055,11.838093530300837,10.111863292294254,0.387504031316988,20.145217657971685
0.08,6.063000018575341,3.934354850762768,4.074191017534866,6.869688291500156,15.345878488620391,0.304124952001568,0.8436530811370213,1.9326946093365625,21.463259199642756,0.6825142832319036,17.210854798591388,0.6178503759683454,10.838447530530113,2.6690365192640924,4.7313180621778415,25.06465145348447,6.021557738325088,0.6508961140241655,17.54700572046134,8.153512163139917,1.5500288315234996,9.121835019143603,25.006241567901558,33.831482748945824,5.619302295300683,2.024863300718996,8.764741962335101,22.759702457443378,2.0811623578710075,2.4492780494965087,8.191041858910317,7.246786197218236,0.8438257187387892,20.110859915414412,6.656866881233636,16.88172817008092,0.8554546730978143,5.164125850403694,2.202996511873443,4.9083448018800215,8.897569259910359,2.273646796894313,22.392667839375402,7.440969819148523,1.4152222339167513,2.9658569878110206,0.12642767159113244,5.453834142515756,12.389806489569718,3.95983090779688,6.076329255749351,12.451387608760752,65.28177234589981,17.158669895535105,5.307693677596507,1.4767033187603589,3.037294876598043,21.46018100786115,8.329180836085873,2.742724230032461,11.670726589868194,2.532463782742601,6.056808001134907,0.7328350471758999,2.016473592729864,9.202305299946454,1.4292198797594153,3.2864213266371745,2.4573170295170788,7.841021564122516,5.994273196998964,6.561078968329453,13.635561096134245,28.109055591754277,34.91022950388392,20.091102488921432,3.260768552597372,0.7386851608645665,1.865887626156644,3.379678613128361,7.562080629381078,3.580125045354142,12.362056155331054,9.092416244020194,34.242739322835995,2.44579823120662,16.84161686300204,6.42978765134374,14.917100883078646,11.3747800644392,7.512653254946847,9.88905602116794,24.368202313452283,5.059793082591926,10.05435879907937,4.886452011393203,2.160596161090985,8.792084824002519,18.75686932430032,5.315391016524144,1.3615460123782368,2.9341242890123764,1.6339258241218784,6.179017280783052,6.928010228168779,21.97459187076389,4.804171512733116,1.0300032973441118,6.064787607319069,4.332326369331752,8.446059839125784,4.216036582453698,1.5691935531938375,1.7654335087923607,25.230176879224366,2.785492429980618,2.201256161778646,15.181498905236127,3.3658064619247945,7.693873409178553,8.65807331167583,3.7476753415080717,3.604425153710525,12.238360655573015,1.8602928819769722,12.331067603591162,11.352861566258449,0.32128253137767804,2.051623373131553,0.13018298893252045,0.6803650919844524,26.05692397744275,2.038480931831527,46.745246894042744,55.955442975424546,3.0725488760225232,11.838093530299941,10.111863292294386,0.387504031316782,20.145217657972005
0.09,6.063000018575428,3.9343548507625976,4.074191017533713,6.869688291500412,15.34587848861889,0.3041249520015391,0.8436530811405464,1.9326946093386004,21.463259199640046,0.6825142832319145,17.210854798589796,0.617850375968473,10.838447530528974,2.669036519264107,4.731318062178009,25.06465145348465,6.021557738326017,0.6508961140239987,17.547005720462565,8.153512163139728,1.5500288315234247,9.121835019144552,25.006241567905114,33.83148274894825,5.619302295304134,2.024863300719086,8.76474196233471,22.75970245744108,2.0811623578718748,2.4492780494966,8.191041858908495,7.24678619721658,0.8438257187388609,20.110859915401306,6.656866881235024,16.881728170081406,0.855454673095437,5.164125850405423,2.2029965118734935,4.908344801879952,8.897569259911839,2.2736467968941536,22.39266783937496,7.4409698191486635,1.415222233916923,2.9658569878111622,0.12642767159112062,5.453834142515919,12.38980648956929,3.9598309077972047,6.076329255748845,12.45138760876248,65.28177234589889,17.158669895530988,5.307693677596579,1.4767033187603789,3.0372948765939585,21.460181007859486,8.329180836085623,2.742724230035072,11.670726589868023,2.53246378274182,6.056808001134466,0.7328350471759131,2.0164735927285857,9.202305299944634,1.4292198797585134,3.2864213266373525,2.457317029517139,7.841021564118252,5.994273196999231,6.561078968330053,13.63556109613461,28.109055591754405,34.91022950388459,20.09110248892241,3.2607685525957693,0.7386851608639086,1.865887626156614,3.3796786131268703,7.562080629379894,3.580125045356024,12.362056155326904,9.092416244010154,34.242739322846575,2.4457982312060973,16.841616863002816,6.429787651336182,14.91710088307954,11.374780064440111,7.5126532549471,9.889056021169868,24.368202313450837,5.059793082591991,10.054358799079695,4.886452011393226,2.160596161089731,8.792084823996582,18.75686932430069,5.315391016522287,1.3615460123782979,2.9341242890128147,1.6339258241217842,6.1790172807831985,6.92801022817215,21.97459187076389,4.804171512732713,1.0300032973440902,6.064787607319099,4.332326369331546,8.446059839123993,4.216036582454274,1.5691935531936614,1.7654335087919348,25.230176879213094,2.785492429979139,2.2012561617792463,15.181498905236088,3.365806461924843,7.6938734091829835,8.658073311676192,3.7476753415090034,3.6044251537105003,12.238360655573388,1.860292881975867,12.331067603589977,11.352861566258001,0.32128253137766893,2.051623373132232,0.1301829889325798,0.6803650919844344,26.0569239774654,2.038480931831892,46.74524689407,55.95544297539536,3.072548876022545,11.838093530298847,10.111863292294546,0.3875040313165705,20.14521765797228
